iter	Logloss
0	0.6483800057
1	0.6071942114
2	0.5700001374
3	0.5356948739
4	0.5031504448
5	0.4734531777
6	0.4459267429
7	0.4205729634
8	0.396447214
9	0.3741918539
10	0.353644847
11	0.3343823481
12	0.3162074738
13	0.3008210052
14	0.2860755636
15	0.2724619542
16	0.2604126467
17	0.2488079739
18	0.2381027897
19	0.227854405
20	0.218444719
21	0.2102807147
22	0.2026333532
23	0.1956335393
24	0.1888037018
25	0.1823622492
26	0.1762088116
27	0.1707296004
28	0.1656463115
29	0.161172445
30	0.1570474185
31	0.1529526993
32	0.1489981575
33	0.1455060246
34	0.1422635538
35	0.1391718479
36	0.1363667461
37	0.1336236436
38	0.1311717025
39	0.1288689137
40	0.1266237157
41	0.124714807
42	0.1229092391
43	0.121243358
44	0.119559282
45	0.1180500992
46	0.1166081743
47	0.1151215862
48	0.1138120297
49	0.1126459287
50	0.1115452976
51	0.1105241069
52	0.1095701916
53	0.1086451636
54	0.1077737474
55	0.1069585197
56	0.1062075348
57	0.1054651128
58	0.1047399215
59	0.1040621193
60	0.1034554663
61	0.1028537915
62	0.1022380586
63	0.1016962269
64	0.1012009167
65	0.1006421347
66	0.1001616888
67	0.09970912243
68	0.09932767023
69	0.09898223965
70	0.09857482735
71	0.0981761882
72	0.09777380666
73	0.09744925283
74	0.09716309575
75	0.09691585254
76	0.09658305142
77	0.09626567562
78	0.09592363685
79	0.09559448172
80	0.09541532022
81	0.09515885688
82	0.09497904682
83	0.09469685125
84	0.09452927626
85	0.09431765149
86	0.09412297704
87	0.09387990567
88	0.0936699549
89	0.09352645567
90	0.09335974836
91	0.09313614268
92	0.09289973224
93	0.09269317329
94	0.0925787981
95	0.09240966306
96	0.09223589166
97	0.09212074521
98	0.09201465236
99	0.09195764006
100	0.09183359776
101	0.09174115982
102	0.09160342756
103	0.09142517756
104	0.09130829576
105	0.09113051904
106	0.09104099964
107	0.09096611676
108	0.09084412533
109	0.09067740049
110	0.09055213994
111	0.09036091865
112	0.09033735999
113	0.09026498373
114	0.09022192432
115	0.09014499934
116	0.090114324
117	0.08997863384
118	0.08990793157
119	0.08978585249
120	0.089705264
121	0.08959570923
122	0.08956227311
123	0.08943100019
124	0.08938388288
125	0.08935320754
126	0.0893063181
127	0.08925734273
128	0.0891440368
129	0.08901479722
130	0.08892177207
131	0.0888433922
132	0.08877400459
133	0.08873242636
134	0.08865174146
135	0.08864276673
136	0.08858372986
137	0.08855255495
138	0.08846926703
139	0.08840644394
140	0.08835566311
141	0.0883142777
142	0.08823212038
143	0.08816201409
144	0.08809936629
145	0.08805032957
146	0.08802668327
147	0.08791753165
148	0.08786955543
149	0.08782184213
150	0.08773766024
151	0.08757280222
152	0.08747793654
153	0.08740227363
154	0.08736733881
155	0.08730635624
156	0.08726863434
157	0.08711538035
158	0.08702575578
159	0.08699119783
160	0.08690573634
161	0.08676396369
162	0.08670290224
163	0.0866426033
164	0.08660463599
165	0.08655275962
166	0.08652453831
167	0.08645082985
168	0.08636960156
169	0.08632590235
170	0.08628057297
171	0.08623195694
172	0.08619361277
173	0.08615096529
174	0.08606954418
175	0.08602444267
176	0.08593968233
177	0.0859020656
178	0.08580403599
179	0.08572156316
180	0.08566242111
181	0.08562962479
182	0.08558228836
183	0.08554060496
184	0.08550561755
185	0.08548536306
186	0.08543521327
187	0.08537638674
188	0.08532012817
189	0.08530377383
190	0.0852459552
191	0.08521832987
192	0.08508950222
193	0.08504200803
194	0.08496426797
195	0.0848812868
196	0.08485921808
197	0.08480787633
198	0.08477107469
199	0.08472776988
200	0.08468901378
201	0.08464172118
202	0.08454973023
203	0.08451972098
204	0.08449422539
205	0.08444900118
206	0.08440513545
207	0.08435046324
208	0.08426828839
209	0.08421497465
210	0.08415615689
211	0.08412372867
212	0.08409463093
213	0.08407171207
214	0.08403227235
215	0.08400869616
216	0.08394800281
217	0.08391800234
218	0.08383877232
219	0.08372069857
220	0.08369444924
221	0.08366824374
222	0.08364597345
223	0.08360829537
224	0.08359092436
225	0.08354519182
226	0.083505235
227	0.08342653085
228	0.08338930852
229	0.08334667857
230	0.08332643284
231	0.08325268933
232	0.08320143523
233	0.08317635157
234	0.08315992711
235	0.08310674484
236	0.08307773474
