Model,Training_accuracy,Test_accuracy,Precision,Recall,Specificity,F1 Score,Training MAE,Testing MAE,Training MSE,Test MSE,Training RMSE,Test RMSE,Training R Squared,Test R Squared
XG Boost - Depth:4,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Decision Tree - Depth:5,0.9801838024124067,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.019816197587593336,0.022975301550832855,0.019816197587593336,0.022975301550832855,0.14077001664982972,0.1515760586333899,-0.005937028973371117,-0.023515579071134773
Random Forest - Depth:5,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:5,0.980470993681792,0.9758759333716255,0.9758759333716255,0.9758759333716255,0.9769982748706153,0.9758759333716255,0.019529006318207927,0.024124066628374498,0.019529006318207927,0.024124066628374498,0.13974622112317717,0.15531924101145517,0.008641768547982043,-0.07469135802469151
Decision Tree - Depth:6,0.980470993681792,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.019529006318207927,0.022975301550832855,0.019529006318207927,0.022975301550832855,0.13974622112317717,0.1515760586333899,0.008641768547982043,-0.023515579071134773
Random Forest - Depth:6,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:6,0.9810453762205629,0.9753015508328546,0.9753015508328546,0.9753015508328546,0.9769850402761795,0.9753015508328546,0.018954623779437105,0.02469844916714532,0.018954623779437105,0.02469844916714532,0.13767579227822554,0.1571574025209927,0.03779936359068847,-0.10027924750146977
Decision Tree - Depth:7,0.9806145893164848,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.019385410683515222,0.022975301550832855,0.019385410683515222,0.022975301550832855,0.1392315003277463,0.1515760586333899,0.015931167308658623,-0.023515579071134773
Random Forest - Depth:7,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:7,0.9820505456634119,0.9730040206777714,0.9730040206777714,0.9730040206777714,0.9769319492502884,0.9730040206777714,0.017949454336588167,0.026995979322228605,0.017949454336588167,0.026995979322228605,0.13397557365649967,0.16430453226319902,0.08882515491542464,-0.20263080540858325
